CustomerID,Recency,Frequency,Monetary,LastPurchaseDate,R_Score,F_Score,M_Score,RFM_Score,Segment
CUST10000,12,23,21265.49,2025-07-17,2,3,2,232,Needs Attention
CUST10001,34,30,28654.31,2025-06-25,3,5,5,355,Needs Attention
CUST10002,17,24,23884.03,2025-07-12,2,3,3,233,Needs Attention
CUST10003,80,25,24206.03,2025-05-10,5,4,3,543,Loyal Customers
CUST10004,7,19,25565.3,2025-07-22,1,1,4,114,Cannot Lose Them
CUST10005,23,29,29459.82,2025-07-06,2,5,5,255,At Risk
CUST10006,10,28,27922.36,2025-07-19,1,5,5,155,At Risk
CUST10007,85,15,14957.060000000001,2025-05-05,5,1,1,511,Needs Attention
CUST10008,2,19,19479.25,2025-07-27,1,1,2,112,Lost Customers
CUST10009,6,25,22832.83,2025-07-23,1,4,3,143,At Risk
CUST10010,13,20,20932.93,2025-07-16,2,2,2,222,Lost Customers
CUST10011,16,22,23159.47,2025-07-13,2,2,3,223,Needs Attention
CUST10012,58,28,26626.07,2025-06-01,4,5,4,454,Champions
CUST10013,12,19,14536.66,2025-07-17,2,1,1,211,Lost Customers
CUST10014,31,21,23325.0,2025-06-28,3,2,3,323,Needs Attention
CUST10015,5,20,26315.71,2025-07-24,1,2,4,124,Cannot Lose Them
CUST10016,3,24,24607.24,2025-07-26,1,3,4,134,Cannot Lose Them
CUST10017,41,25,21241.48,2025-06-18,3,4,2,342,Needs Attention
CUST10018,71,19,20383.920000000002,2025-05-19,4,1,2,412,Needs Attention
CUST10019,154,25,24529.64,2025-02-25,5,4,4,544,Champions
CUST10020,3,22,19111.420000000002,2025-07-26,1,2,2,122,Lost Customers
CUST10021,18,20,18806.9,2025-07-11,2,2,2,222,Lost Customers
CUST10022,59,15,21368.65,2025-05-31,4,1,3,413,Potential Loyalists
CUST10023,78,27,30622.22,2025-05-12,5,4,5,545,Champions
CUST10024,7,24,25362.43,2025-07-22,1,3,4,134,Cannot Lose Them
CUST10025,3,19,14074.550000000001,2025-07-26,1,1,1,111,Lost Customers
CUST10026,68,25,23621.41,2025-05-22,4,4,3,443,Loyal Customers
CUST10027,29,20,22327.31,2025-06-30,3,2,3,323,Needs Attention
CUST10028,10,18,18921.46,2025-07-19,1,1,2,112,Lost Customers
CUST10029,40,24,27318.86,2025-06-19,3,3,4,334,Needs Attention
CUST10030,71,17,15128.23,2025-05-19,4,1,1,411,Needs Attention
CUST10031,34,23,25724.97,2025-06-25,3,3,4,334,Needs Attention
CUST10032,43,27,30688.059999999998,2025-06-16,4,4,5,445,Champions
CUST10033,0,16,12485.71,2025-07-29,1,1,1,111,Lost Customers
CUST10034,152,21,30387.64,2025-02-27,5,2,5,525,Potential Loyalists
CUST10035,28,30,32232.78,2025-07-01,3,5,5,355,Needs Attention
CUST10036,38,17,12860.83,2025-06-21,3,1,1,311,Needs Attention
CUST10037,106,27,27130.43,2025-04-14,5,4,4,544,Champions
CUST10038,17,24,23476.27,2025-07-12,2,3,3,233,Needs Attention
CUST10039,57,22,23178.100000000002,2025-06-02,4,2,3,423,Potential Loyalists
CUST10040,8,23,24650.49,2025-07-21,1,3,4,134,Cannot Lose Them
CUST10041,94,21,18174.28,2025-04-26,5,2,2,522,Needs Attention
CUST10042,68,17,18488.29,2025-05-22,4,1,2,412,Needs Attention
CUST10043,28,30,29659.3,2025-07-01,3,5,5,355,Needs Attention
CUST10044,110,23,28420.190000000002,2025-04-10,5,3,5,535,Loyal Customers
CUST10045,10,27,26609.66,2025-07-19,2,4,4,244,At Risk
CUST10046,10,30,30458.69,2025-07-19,2,5,5,255,At Risk
CUST10047,29,18,19168.239999999998,2025-06-30,3,1,2,312,Needs Attention
CUST10048,29,18,19989.84,2025-06-30,3,1,2,312,Needs Attention
CUST10049,15,34,35725.15,2025-07-14,2,5,5,255,At Risk
CUST10050,15,17,19831.64,2025-07-14,2,1,2,212,Lost Customers
CUST10051,22,23,24862.97,2025-07-07,2,3,4,234,Cannot Lose Them
CUST10052,113,23,22263.09,2025-04-07,5,3,3,533,Loyal Customers
CUST10053,28,30,41674.56,2025-07-01,3,5,5,355,Needs Attention
CUST10054,19,33,36861.79,2025-07-10,2,5,5,255,At Risk
CUST10055,4,27,26342.37,2025-07-25,1,4,4,144,At Risk
CUST10056,31,30,32921.23,2025-06-28,3,5,5,355,Needs Attention
CUST10057,130,21,21213.26,2025-03-21,5,2,2,522,Needs Attention
CUST10058,60,24,22180.19,2025-05-30,4,3,3,433,Loyal Customers
CUST10059,18,23,21670.18,2025-07-11,2,3,3,233,Needs Attention
CUST10060,31,26,29647.63,2025-06-28,3,4,5,345,Needs Attention
CUST10061,4,21,19094.82,2025-07-25,1,2,2,122,Lost Customers
CUST10062,17,27,30194.73,2025-07-12,2,4,5,245,At Risk
CUST10063,71,22,19584.72,2025-05-19,4,2,2,422,Needs Attention
CUST10064,32,26,20293.07,2025-06-27,3,4,2,342,Needs Attention
CUST10065,103,13,15173.99,2025-04-17,5,1,1,511,Needs Attention
CUST10066,25,19,16980.34,2025-07-04,3,1,1,311,Needs Attention
CUST10067,177,27,28540.52,2025-02-02,5,4,5,545,Champions
CUST10068,34,20,26811.92,2025-06-25,3,2,4,324,Needs Attention
CUST10069,6,27,29745.91,2025-07-23,1,4,5,145,At Risk
CUST10070,27,25,23412.36,2025-07-02,3,4,3,343,Needs Attention
CUST10071,49,27,21414.22,2025-06-10,4,4,3,443,Loyal Customers
CUST10072,61,20,19269.82,2025-05-29,4,2,2,422,Needs Attention
