CustomerID,TransactionDate,TransactionAmount
CUST10771,2023-07-31,2383.07
CUST10100,2024-03-10,497.54
CUST10031,2025-02-17,536.78
CUST10987,2023-07-17,314.89
CUST10831,2024-12-15,2543.19
CUST10404,2025-02-28,432.22
CUST10488,2025-06-07,2178.25
CUST10988,2025-03-25,85.46
CUST10657,2023-09-10,1800.32
CUST10007,2023-12-15,305.9
CUST10897,2023-07-16,726.91
CUST10300,2023-05-09,385.41
CUST10710,2025-04-04,305.66
CUST10480,2025-02-04,1812.17
CUST10480,2024-01-16,1560.58
CUST10377,2023-10-24,465.32
CUST10184,2025-02-19,672.1
CUST10214,2025-06-17,1224.7
CUST10488,2023-07-12,463.81
CUST10892,2024-08-13,398.16
CUST10561,2024-01-15,300.17
CUST10879,2023-02-01,993.99
CUST10959,2023-10-28,715.54
CUST10204,2025-02-08,381.65
CUST10531,2024-05-12,866.56
CUST10755,2023-12-26,486.07
CUST10805,2024-09-12,913.33
CUST10547,2024-08-08,1298.6
CUST10657,2025-03-19,1042.5
CUST10231,2025-04-04,626.01
CUST10141,2022-11-22,705.63
CUST10443,2024-09-12,1272.25
CUST10715,2025-05-21,1031.61
CUST10919,2025-07-08,1545.22
CUST10765,2022-06-02,1210.21
CUST10203,2024-03-07,655.35
CUST10734,2025-01-31,1798.01
CUST10373,2022-02-01,2249.7
CUST10503,2024-07-22,3189.99
CUST10233,2024-09-16,217.87
CUST10049,2024-12-03,940.96
CUST10251,2023-07-13,1536.49
CUST10850,2022-10-26,1054.13
CUST10117,2023-11-10,90.94
CUST10991,2025-06-28,990.86
CUST10371,2025-05-19,1428.33
CUST10068,2022-08-09,697.9
CUST10712,2024-01-20,710.35
CUST10043,2022-05-10,968.0
CUST10217,2023-02-07,912.54
CUST10442,2023-11-20,914.47
CUST10339,2023-11-10,1795.7
CUST10754,2023-08-02,613.8
CUST10416,2024-12-25,485.29
CUST10460,2025-05-22,630.5
CUST10452,2022-04-20,861.79
CUST10837,2022-07-14,576.75
CUST10471,2025-04-29,1899.99
CUST10901,2022-05-13,307.55
CUST10672,2025-07-15,947.52
CUST10609,2024-12-01,1408.59
CUST10763,2023-11-16,356.87
CUST10631,2025-07-18,224.09
CUST10669,2022-04-12,1053.77
CUST10659,2025-07-06,1080.71
CUST10459,2025-07-07,240.86
CUST10380,2024-08-13,808.6
CUST10040,2022-06-25,164.97
CUST10208,2024-11-26,817.54
CUST10932,2024-08-01,426.43
CUST10697,2023-10-18,117.36
CUST10265,2025-04-18,1913.05
CUST10133,2025-07-21,274.17
CUST10846,2021-05-02,1524.08
CUST10953,2023-10-23,264.81
CUST10530,2023-01-24,1241.61
CUST10776,2022-10-24,1456.99
CUST10757,2024-05-05,492.17
CUST10110,2024-02-21,1465.49
CUST10806,2025-07-26,863.76
CUST10778,2024-12-14,1529.43
CUST10904,2022-04-15,1417.64
CUST10425,2024-11-30,1223.95
CUST10858,2024-03-30,925.42
CUST10204,2023-03-09,992.6
CUST10335,2022-02-17,1356.13
CUST10105,2021-01-07,1699.83
CUST10854,2025-05-30,1151.93
CUST10005,2023-05-06,770.34
CUST10890,2022-03-03,844.62
CUST10755,2023-03-25,298.63
CUST10657,2024-09-29,542.13
CUST10228,2022-02-16,341.22
CUST10203,2022-06-23,1195.61
CUST10963,2020-12-13,725.57
CUST10735,2025-02-21,3198.09
CUST10818,2023-01-24,110.78
CUST10854,2023-08-04,3762.6
CUST10393,2023-11-22,682.92
CUST10199,2025-01-13,2022.11
CUST10310,2024-09-02,661.29
CUST10834,2025-01-07,252.24
CUST10316,2025-06-23,1052.56
CUST10675,2024-09-22,764.05
CUST10797,2025-06-26,494.98
CUST10383,2025-04-12,1027.95
CUST10999,2023-09-03,787.02
CUST10928,2025-02-20,2766.52
CUST10238,2025-01-05,1775.93
CUST10028,2022-09-08,1285.73
CUST10694,2022-11-18,1135.13
CUST10912,2024-05-28,600.43
CUST10851,2025-03-24,1486.42
CUST10255,2023-11-10,235.35
CUST10610,2025-02-16,135.19
CUST10284,2023-10-04,299.58
CUST10312,2025-04-15,2841.04
CUST10185,2024-08-30,639.85
CUST10817,2024-06-13,232.38
CUST10681,2023-04-29,262.77
CUST10717,2024-02-27,1536.17
CUST10117,2024-05-04,2112.09
CUST10902,2023-11-19,919.48
CUST10015,2022-09-27,2298.85
